id_arbre,arrondissement,rue,emplacement,espece_latin,dhp_cm,x,y,date_releve,genre,annee_releve,classe_dhp,anomalie
OUT_0000001,Outremont,DUNLOP,parterre,GINKGO BILOBA 'PRINC. SENTRY',11,295649.9,5041556.82,2021-07-29,GINKGO,2021,10 à moins de 30 cm,FALSE
OUT_0000002,Outremont,DUNLOP,parterre,TILIA AMERICANA REDMOND,18,295641.36,5041563.73,2021-08-09,TILIA,2021,10 à moins de 30 cm,FALSE
OUT_0000003,Outremont,DUNLOP,façade,ACER PLATANOIDES,86,295633.51,5041569.7,2024-09-09,ACER,2024,60 cm et plus,FALSE
OUT_0000004,Outremont,DUNLOP,parterre,QUERCUS ROBUR,51,295621.84,5041575.97,2024-07-25,QUERCUS,2024,30 à moins de 60 cm,FALSE
OUT_0000005,Outremont,DUNLOP,façade,ACER SACCHARINUM,92,295599.56,5041590.29,2024-09-09,ACER,2024,60 cm et plus,FALSE
OUT_0000006,Outremont,DUNLOP,parterre,PHELLODENDRON AMU. HIS MAJESTY,6,295585.16,5041598.92,2021-08-09,PHELLODENDRON,2021,Moins de 10 cm,FALSE
OUT_0000007,Outremont,DUNLOP,façade,ACER SACCHARINUM,80,295575.03,5041606.02,2024-09-09,ACER,2024,60 cm et plus,FALSE
OUT_0000008,Outremont,DUNLOP,façade,FRAXINUS PENNSYLVANICA,47,295565.54,5041612.45,2024-09-09,FRAXINUS,2024,30 à moins de 60 cm,FALSE
OUT_0000009,Outremont,DUNLOP,parterre,ACER PLATANOIDES,37,295551.56,5041620.33,2024-07-25,ACER,2024,30 à moins de 60 cm,FALSE
OUT_0000010,Outremont,DUNLOP,façade,ACER SACCHARINUM,64,295536.35,5041630.11,2024-09-09,ACER,2024,60 cm et plus,FALSE
OUT_0000011,Outremont,DUNLOP,façade,GLEDITSIA TRIACANTHOS INERMIS,46,295523.47,5041638.26,2024-09-09,GLEDITSIA,2024,30 à moins de 60 cm,FALSE
OUT_0000012,Outremont,DUNLOP,parterre,ACER SACCHARINUM,81,295516.05,5041642.97,2024-07-25,ACER,2024,60 cm et plus,FALSE
OUT_0000013,Outremont,DUNLOP,parterre,ACER PLATANOIDES EMLD QUN,12,295506.4,5041649.89,2021-08-09,ACER,2021,10 à moins de 30 cm,FALSE
OUT_0000014,Outremont,DUNLOP,droite,ACER PLATANOIDES,82,295497.52,5041655.28,2024-09-09,ACER,2024,60 cm et plus,FALSE
OUT_0000017,Outremont,DUNLOP,parterre,ACER PLATANOIDES,75,295478.54,5041668.41,2024-07-25,ACER,2024,60 cm et plus,FALSE
OUT_0000018,Outremont,DUNLOP,parterre,GINKGO BILOBA 'PRINC. SENTRY',7,295464.32,5041676.09,2021-08-09,GINKGO,2021,Moins de 10 cm,FALSE
OUT_0000019,Outremont,DUNLOP,parterre,ACER PLATANOIDES,59,295457.71,5041680.93,2024-07-25,ACER,2024,30 à moins de 60 cm,FALSE
OUT_0000022,Outremont,DUNLOP,droite,ULMUS PUMILA,58,295423.3,5041702.11,2024-09-09,ULMUS,2024,30 à moins de 60 cm,FALSE
