espece_latin,nb_arbres,proportion,proportion_pct
ACER PLATANOIDES,1753,0.22816608095795912,22.82
ACER SACCHARINUM,1046,0.1361447351295067,13.61
FRAXINUS PENNSYLVANICA,310,0.0403488220747104,4.03
CELTIS OCCIDENTALIS,298,0.03878693218794742,3.88
GLEDITSIA T. I. SKYLINE,196,0.02551086815046206,2.55
ACER PLATANOIDES DEBORAH,195,0.025380710659898477,2.54
ACER PLATANOIDES COLUMNARE,185,0.024079135754262657,2.41
QUERCUS RUBRA,168,0.021866458414681766,2.19
ULMUS PUMILA,155,0.0201744110373552,2.02
TILIA CORDATA,144,0.018742678641155797,1.87
GINKGO BILOBA 'AUTUMN GOLD',134,0.017441103735519978,1.74
ACER FREEMANII AUTUMN BLAZE,132,0.017180788754392814,1.72
GLEDITSIA T. I. SHADEMASTER,132,0.017180788754392814,1.72
GYMNOCLADUS DIOICUS 'ESPRESSO',130,0.01692047377326565,1.69
GYMNOCLADUS DIOICUS,122,0.015879213848756995,1.59
ACER PLATANOIDES EMLD QUN,116,0.015098268905375503,1.51
ULMUS 'ACCOLADE',114,0.01483795392424834,1.48
GINKGO BILOBA,98,0.01275543407523103,1.28
TILIA CORDATA GREENSPIRE,83,0.0108030717167773,1.08
ACER SACCHARUM,81,0.010542756735650137,1.05
ACER RUBRUM,80,0.010412599245086555,1.04
QUERCUS ROBUR FASTIGIATA,78,0.01015228426395939,1.02
SYRINGA R. IVORY SILK,78,0.01015228426395939,1.02
AMELANCHIER CANADENSIS,77,0.010022126773395808,1
ULMUS AMERICANA 'PRINCETON',70,0.009111024339450735,0.91
GINKGO BILOBA 'PRINC. SENTRY',69,0.008980866848887154,0.9
PICEA PUNGENS,68,0.008850709358323572,0.89
GLEDITSIA T. 'STREET KEEPER',67,0.008720551867759989,0.87
GLEDITSIA TRIACANTHOS INERMIS,53,0.006898346999869843,0.69
ULMUS AMERICANA 'VALLEY FORGE',49,0.006377717037615515,0.64
PINUS NIGRA AUSTRIACA,48,0.006247559547051933,0.62
TILIA AMERICANA REDMOND,46,0.005987244565924769,0.6
TILIA AMERICANA,45,0.005857087075361187,0.59
MALUS,43,0.005596772094234023,0.56
CATALPA SPECIOSA,42,0.005466614603670442,0.55
SYRINGA RETICULATA,42,0.005466614603670442,0.55
ACER PLATANOIDES SUPERFORM,39,0.005076142131979695,0.51
ACER NEGUNDO,36,0.004685669660288949,0.47
PICEA GLAUCA,36,0.004685669660288949,0.47
ULMUS AMERICANA,36,0.004685669660288949,0.47
GLEDITSIA,35,0.004555512169725368,0.46
QUERCUS MACROCARPA,34,0.004425354679161786,0.44
PLATANUS OCCIDENTALIS,31,0.0040348822074710395,0.4
TILIA AMERICANA 'BOULEVARD',31,0.0040348822074710395,0.4
MAACKIA AMURENSIS,29,0.003774567226343876,0.38
CELTIS 'PRAIRIE SENTINEL',27,0.003514252245216712,0.35
ACER PLAT. CRIMSON KING,26,0.00338409475465313,0.34
OSTRYA VIRGINIANA,26,0.00338409475465313,0.34
PINUS SYLVESTRIS,26,0.00338409475465313,0.34
RHAMNUS CATHARTICA,26,0.00338409475465313,0.34
FAGUS GRANDIFOLIA,23,0.0029936222829623845,0.3
LIRIODENDRON TULIPIFERA,22,0.0028634647923988024,0.29
GLEDITSIA T. I. 'NORTHERN ACCL,21,0.002733307301835221,0.27
MALUS BACCATA COLUMNARIS,21,0.002733307301835221,0.27
AMELANCHIER LAEVIS,20,0.0026031498112716388,0.26
LARIX LARICINA,20,0.0026031498112716388,0.26
PICEA ABIES,19,0.0024729923207080567,0.25
AESCULUS HIPPOCASTANUM,18,0.0023428348301444747,0.23
AESCULUS H. BAUMANII,17,0.002212677339580893,0.22
BETULA NIGRA 'HERITAGE',17,0.002212677339580893,0.22
GINKGO BILOBA 'WOODSTOCK',17,0.002212677339580893,0.22
ACER RUBRUM ARMSTRONG,16,0.002082519849017311,0.21
MALUS FRUITIER,15,0.001952362358453729,0.2
ULMUS 'TRIUMPH',15,0.001952362358453729,0.2
PHELLODENDRON AMU. HIS MAJESTY,14,0.0018222048678901471,0.18
POPULUS DELTOIDES,14,0.0018222048678901471,0.18
ACER PLATANOIDES SCHWEDLERI,12,0.0015618898867629833,0.16
AMELANCHIER G. 'AUTUMN BRILLAN,12,0.0015618898867629833,0.16
ZELKOVA SERRATA,12,0.0015618898867629833,0.16
PHELLODENDRON AMURENSE,11,0.0014317323961994012,0.14
QUERCUS PALUSTRIS,11,0.0014317323961994012,0.14
BETULA NIGRA,10,0.0013015749056358194,0.13
BETULA POPULIFOLIA,10,0.0013015749056358194,0.13
CORYLUS COLURNA,10,0.0013015749056358194,0.13
FRAXINUS AMERICANA,10,0.0013015749056358194,0.13
MALUS 'HARVEST GOLD',10,0.0013015749056358194,0.13
PHELLODENDRON AMURENSIS 'MACHO,10,0.0013015749056358194,0.13
POPULUS BALSAMIFERA,10,0.0013015749056358194,0.13
PRUNUS VIRGINIANA SHUBERT,10,0.0013015749056358194,0.13
ROBINIA PSEUDOACACIA,10,0.0013015749056358194,0.13
THUYA OCCIDENTALIS,10,0.0013015749056358194,0.13
AESCULUS 'AUTUMN SPLENDOR',9,0.0011714174150722373,0.12
BETULA PAPYRIFERA,9,0.0011714174150722373,0.12
CRATAEGUS CRUS-GALLI,9,0.0011714174150722373,0.12
PICEA OMORIKA,9,0.0011714174150722373,0.12
TILIA CORDATA GLENLEVEN,9,0.0011714174150722373,0.12
TILIA TOMENTOSA,9,0.0011714174150722373,0.12
JUGLANS NIGRA,8,0.0010412599245086555,0.1
CERCIDIPHYLLUM JAPONICUM,7,9.111024339450736e-4,0.09
QUERCUS BICOLOR,7,9.111024339450736e-4,0.09
QUERCUS IMBRICARIA,7,9.111024339450736e-4,0.09
ULMUS X 'PROSPECTOR',7,9.111024339450736e-4,0.09
AESCULUS GLABRA,6,7.809449433814916e-4,0.08
CARPINUS CAROLINIANA,6,7.809449433814916e-4,0.08
PINUS STROBUS,6,7.809449433814916e-4,0.08
ULMUS 'PIONEER',6,7.809449433814916e-4,0.08
ULMUS X 'NEW HORIZON',6,7.809449433814916e-4,0.08
ELAEAGNUS ANGUSTIFOLIA,5,6.507874528179097e-4,0.07
TILIA CORDATA 'RONALD',5,6.507874528179097e-4,0.07
ULMUS,5,6.507874528179097e-4,0.07
ULMUS FRONTIER,5,6.507874528179097e-4,0.07
ACER GINNALA 'RUBY SLIPPERS',4,5.206299622543278e-4,0.05
ACER PLATANOIDES DRUMMONDII,4,5.206299622543278e-4,0.05
AMELANCHIER GRANDIFLORA,4,5.206299622543278e-4,0.05
BETULA PENDULA FASTIGIATA,4,5.206299622543278e-4,0.05
CRATAEGUS X MORDENENSIS TOBA,4,5.206299622543278e-4,0.05
FRAXINUS P. PATMORE,4,5.206299622543278e-4,0.05
TAXUS CUSPIDATA CAPITATA,4,5.206299622543278e-4,0.05
TILIA SP,4,5.206299622543278e-4,0.05
ULMUS 'HOMESTEAD',4,5.206299622543278e-4,0.05
ULMUS DAVIDIANA 'DISCOVERY',4,5.206299622543278e-4,0.05
ABIES BALSAMEA,3,3.904724716907458e-4,0.04
ACER GINNALA 'FLAME',3,3.904724716907458e-4,0.04
ACER PLATANOIDE,3,3.904724716907458e-4,0.04
AMELANCHIER ARBOREA,3,3.904724716907458e-4,0.04
AMELANCHIER G. 'PRINCESS DIANA,3,3.904724716907458e-4,0.04
CARYA CORDIFORMIS,3,3.904724716907458e-4,0.04
CLADASTRIS KENTUKEA,3,3.904724716907458e-4,0.04
CORNUS ALTERNIFOLIA,3,3.904724716907458e-4,0.04
GLEDITSIA T. I. SUNBURST,3,3.904724716907458e-4,0.04
JUGLANS CINEREA,3,3.904724716907458e-4,0.04
MAACKIA AMURENSIS 'SUMMERTIME',3,3.904724716907458e-4,0.04
PRUNUS,3,3.904724716907458e-4,0.04
QUERCUS ROBUR,3,3.904724716907458e-4,0.04
A déterminer,2,2.603149811271639e-4,0.03
ABIES CONCOLOR,2,2.603149811271639e-4,0.03
ACER PLAT. DEBORAH,2,2.603149811271639e-4,0.03
MALUS x 'CENTURION',2,2.603149811271639e-4,0.03
POPULUS DELTOïDES SIOUXLAND,2,2.603149811271639e-4,0.03
PYRUS FRUITIER,2,2.603149811271639e-4,0.03
QUERCUS WAREI 'REGAL PRINCE',2,2.603149811271639e-4,0.03
TSUGA CANADENSIS,2,2.603149811271639e-4,0.03
ACER GINNALA,1,1.3015749056358194e-4,0.01
ACER PALMATUM ATROPURPUREUM,1,1.3015749056358194e-4,0.01
"ACER PLATANOIDES,",1,1.3015749056358194e-4,0.01
CARPINUS B. 'FRANS FONTAINE',1,1.3015749056358194e-4,0.01
FRAXINUS A. AUTUMN PURPLE,1,1.3015749056358194e-4,0.01
FRAXINUS EXCELSIOR,1,1.3015749056358194e-4,0.01
LIRIODENDRON T. 'FASTIGIATA',1,1.3015749056358194e-4,0.01
MAGNOLIA X SOULANGIANA,1,1.3015749056358194e-4,0.01
MALUS 'ROSTHERN',1,1.3015749056358194e-4,0.01
MALUS X THUNDERCHILD,1,1.3015749056358194e-4,0.01
POPULUS TRE. MOUNTAIN SENTRY,1,1.3015749056358194e-4,0.01
PRUNUS FRUITIER,1,1.3015749056358194e-4,0.01
