espece_latin,nb_mesures,dhp_moyen_cm,dhp_median_cm,ecart_type_cm
ACER SACCHARINUM,1046,61.200764818355644,61,17.70799401530484
ACER PLATANOIDES,1753,49.97661152310325,48,19.03274697023874
TILIA CORDATA,144,47.53472222222222,47,14.015931591722271
ACER PLAT. CRIMSON KING,26,44.23076923076923,46,10.71935704156809
ACER NEGUNDO,36,43.44444444444444,44,15.869907632181363
FRAXINUS PENNSYLVANICA,310,41.65806451612903,41,11.06990948102803
ULMUS AMERICANA,36,39.083333333333336,29.5,26.699785980950697
PICEA PUNGENS,68,37.80882352941177,36,11.541304606849904
ULMUS PUMILA,155,36.63870967741936,35,11.349171187181234
GLEDITSIA,35,32.94285714285714,37,14.027164522376399
ACER SACCHARUM,81,32.876543209876544,32,24.594909389978135
GLEDITSIA TRIACANTHOS INERMIS,53,32.43396226415094,35,12.337418745679377
ACER PLATANOIDES DEBORAH,195,30.276923076923076,30,7.111427624245154
LARIX LARICINA,20,29.3,21,27.094571217749216
ACER PLATANOIDES COLUMNARE,185,27.897297297297296,29,8.606446221800416
ACER PLATANOIDES SUPERFORM,39,26.846153846153847,26,5.163324416336831
PINUS NIGRA AUSTRIACA,48,25.791666666666668,29,15.953333985353249
PICEA GLAUCA,36,25.75,28,13.480938924485724
ACER PLATANOIDES EMLD QUN,116,24.49137931034483,25,8.742197206309351
CELTIS OCCIDENTALIS,298,23.29530201342282,25,14.985067025104179
MALUS,43,22.046511627906977,19,11.98601067191426
SYRINGA RETICULATA,42,21.023809523809526,17.5,10.659904578436455
TILIA AMERICANA,45,19.6,5,24.78214166399961
QUERCUS RUBRA,168,19.333333333333332,7,21.84668041396176
PINUS SYLVESTRIS,26,19.26923076923077,14,13.53974207230756
MALUS BACCATA COLUMNARIS,21,19.238095238095237,19,5.028963729286203
ACER RUBRUM,80,18.475,16,10.442094702316767
RHAMNUS CATHARTICA,26,16.346153846153847,14,6.57231957648018
TILIA CORDATA GREENSPIRE,83,15.53012048192771,15,5.935296136605951
GINKGO BILOBA,98,14.285714285714286,7,19.370505797354927
TILIA AMERICANA REDMOND,46,13.217391304347826,5.5,10.95224592589374
GLEDITSIA T. I. SKYLINE,196,11.673469387755102,9,6.82119699278966
ACER FREEMANII AUTUMN BLAZE,132,10.878787878787879,6.5,9.168507585423818
CATALPA SPECIOSA,42,10.714285714285714,5,17.428999823374994
GLEDITSIA T. I. SHADEMASTER,132,10.090909090909092,8,5.650717100280073
QUERCUS MACROCARPA,34,9.911764705882353,7,5.759669850906721
QUERCUS ROBUR FASTIGIATA,78,9.576923076923077,7,8.350315696293897
SYRINGA R. IVORY SILK,78,9.35897435897436,9,4.1182973375380465
ULMUS 'ACCOLADE',114,8.385964912280702,7,4.666788651454234
GYMNOCLADUS DIOICUS,122,8.12295081967213,7,3.621738473138175
FAGUS GRANDIFOLIA,23,7.913043478260869,5,7.8619512005507834
GINKGO BILOBA 'PRINC. SENTRY',69,6.811594202898551,5,3.2821951151757487
AMELANCHIER CANADENSIS,77,6.324675324675325,7,1.3022405635304752
GYMNOCLADUS DIOICUS 'ESPRESSO',130,6.092307692307692,5,1.9024511070377215
ULMUS AMERICANA 'PRINCETON',70,6,5,3.0216609311120095
AMELANCHIER LAEVIS,20,5.95,5,1.8771478925557026
PLATANUS OCCIDENTALIS,31,5.903225806451613,5,3.8327956612171694
GLEDITSIA T. 'STREET KEEPER',67,5.850746268656716,5,2.2780489482016257
MAACKIA AMURENSIS,29,5.758620689655173,5,0.9876079475824802
GINKGO BILOBA 'AUTUMN GOLD',134,5.485074626865671,5,1.5929122836054526
TILIA AMERICANA 'BOULEVARD',31,5.419354838709677,5,1.6886719347539967
ULMUS AMERICANA 'VALLEY FORGE',49,5.142857142857143,5,0.3535533905932738
OSTRYA VIRGINIANA,26,5.115384615384615,5,0.8161824833662177
GLEDITSIA T. I. 'NORTHERN ACCL,21,5.0476190476190474,5,0.21821789023599236
CELTIS 'PRAIRIE SENTINEL',27,4.962962962962963,5,0.19245008972987526
LIRIODENDRON TULIPIFERA,22,4.636363636363637,5,0.5810872031479765
