INV_TYPE,EMP_NO,ARROND,ARROND_NOM,Rue,Rue_cote,No_civique,Emplacement,Coord_X,Coord_Y,SIGLE,Essence_latin,Essence_fr,Essence_ang,DHP,Date_releve,Date_plantation,LOCALISATION,Localisation_code,CODE_PARC,NOM_PARC,Rue_de,Rue_a,Distance_pave,Distance_ligne_rue,Stationnement_jour,Stationnement_heure,District,Remarquable,Code_secteur,Nom_secteur,Coord_X,Coord_Y,Latitude,Longitude
,0000001,15,Outremont,DUNLOP,,   711,parterre,"295649,90","5041556,82",,GINKGO BILOBA 'PRINC. SENTRY',,,"11,00",2021-07.29,,sur le côté façade,,,,LAJOIE,VAN HORNE,"3,20",,Mar 9h-11h,,I,,1,,"295649,90","5041556,82",,
,0000002,15,Outremont,DUNLOP,,   717,parterre,"295641,36","5041563,73",,TILIA AMERICANA  REDMOND,,,"18,00",2021-08.09,,droite,,,,LAJOIE,VAN HORNE,"3,20",,Mar 9h-11h,,I,,1,,"295641,36","5041563,73",,
,0000003,15,Outremont,DUNLOP,,   717,façade,"295633,51","5041569,70",,ACER PLATANOIDES,,,"86,00",2024-09.09,,façade,,,,LAJOIE,VAN HORNE,"3,20",,Mar 9h-11h,,I,,1,,"295633,51","5041569,70",,
,0000004,15,Outremont,DUNLOP,,   723,parterre,"295621,84","5041575,97",,QUERCUS ROBUR,,,"51,00",2024-07.25,,façade,,,,LAJOIE,VAN HORNE,"3,20",,Mar 9h-11h,,I,,1,,"295621,84","5041575,97",,
,0000005,15,Outremont,DUNLOP,,   735,façade,"295599,56","5041590,29",,ACER SACCHARINUM,,,"92,00",2024-09.09,,façade,,,,LAJOIE,VAN HORNE,"3,20",,Mar 9h-11h,,I,,1,,"295599,56","5041590,29",,
,0000006,15,Outremont,DUNLOP,,   739,parterre,"295585,16","5041598,92",,PHELLODENDRON AMU. HIS MAJESTY,,,"6,00",2021-08.09,,façade,,,,LAJOIE,VAN HORNE,"3,20",,Mar 9h-11h,,I,,1,,"295585,16","5041598,92",,
,0000007,15,Outremont,DUNLOP,,   745,façade,"295575,03","5041606,02",,ACER SACCHARINUM,,,"80,00",2024-09.09,,façade,,,,LAJOIE,VAN HORNE,"3,20",,Mar 9h-11h,,I,,1,,"295575,03","5041606,02",,
,0000008,15,Outremont,DUNLOP,,   751,façade,"295565,54","5041612,45",,FRAXINUS PENNSYLVANICA,,,"47,00",2024-09.09,,façade,,,,LAJOIE,VAN HORNE,"3,20",,Mar 9h-11h,,I,,1,,"295565,54","5041612,45",,
,0000009,15,Outremont,DUNLOP,,   755,parterre,"295551,56","5041620,33",,ACER PLATANOIDES,,,"37,00",2024-07.25,,façade,,,,LAJOIE,VAN HORNE,"3,20",,Mar 9h-11h,,I,,1,,"295551,56","5041620,33",,
,0000010,15,Outremont,DUNLOP,,   759,façade,"295536,35","5041630,11",,ACER SACCHARINUM,,,"64,00",2024-09.09,,façade,,,,LAJOIE,VAN HORNE,"3,20",,Mar 9h-11h,,I,,1,,"295536,35","5041630,11",,
